Iteration,ID,Viability,Targeting
0,seq_1,2.98126411437988,4.20781469345093
0,seq_2,4.47744989395142,3.73473525047302
0,seq_3,3.22823643684387,3.80340433120727
0,seq_4,4.62525796890259,1.52384257316589
0,seq_5,4.62724447250366,1.03543269634247
0,seq_6,4.91448259353638,0.623781025409698
0,seq_7,4.62898874282837,0.657753884792328
0,seq_8,2.2001793384552,3.96857380867004
0,seq_9,2.52013516426086,3.8916015625
0,seq_10,3.24763751029968,3.59300684928894
0,seq_11,3.33789420127869,2.68438410758972
0,seq_12,3.31487131118774,3.30444145202637
0,seq_13,3.5013222694397,1.97876131534576
0,seq_14,3.67248916625977,1.76969528198242
0,seq_15,2.67698621749878,3.7873420715332
0,seq_16,3.19608855247498,3.74872589111328
0,seq_17,3.72664570808411,1.47851252555847
0,seq_18,4.45881175994873,1.39535009860992
0,seq_19,4.60250854492187,0.834987282752991
0,seq_20,4.74166822433472,0.340526580810547
0,seq_21,0.461086183786392,3.94450068473816
0,seq_22,3.23986792564392,3.39397740364075
0,seq_23,3.56864285469055,1.68904483318329
0,seq_24,3.42412257194519,1.72494912147522
0,seq_25,2.49931025505066,3.75269389152527
0,seq_26,2.97865557670593,3.68241882324219
0,seq_27,3.01831483840942,3.6637589931488
0,seq_28,3.19083714485168,3.55494999885559
0,seq_29,3.05697131156921,3.55938982963562
0,seq_30,4.12802171707153,1.30830657482147
0,seq_31,4.30088376998901,1.29853188991547
0,seq_32,4.35176849365234,1.17387425899506
0,seq_33,4.43413400650024,0.845182418823242
0,seq_34,4.32297277450562,1.18684697151184
0,seq_35,4.44570684432983,0.674998581409454
0,seq_36,0.0200781468302011,3.89297413825989
0,seq_37,3.21432280540466,2.60584878921509
0,seq_38,3.21784901618958,1.83169651031494
0,seq_39,3.51829218864441,1.34526634216309
0,seq_40,3.47836923599243,1.43216359615326
0,seq_41,3.4414165019989,1.48289859294891
0,seq_42,3.3380868434906,1.50109136104584
0,seq_43,3.26906275749206,1.5752466917038
0,seq_44,2.72070050239563,3.67904090881348
0,seq_45,2.9008424282074,3.59709239006042
0,seq_46,3.18700408935547,3.17436623573303
0,seq_47,3.09300756454468,3.37889099121094
0,seq_48,2.94426417350769,3.53302764892578
0,seq_49,3.52255320549011,1.2955504655838
0,seq_50,3.90185713768005,1.220219373703
0,seq_51,4.32562208175659,0.894698739051819
0,seq_52,4.25778436660767,0.904595375061035
0,seq_53,4.14378309249878,1.17433440685272
0,seq_54,4.14695310592651,1.04833853244781
0,seq_55,3.44457936286926,1.34993350505829
0,seq_56,3.39491510391235,1.48130118846893
0,seq_57,2.3450779914856,3.67775893211365
0,seq_58,3.1858434677124,2.56522107124329
0,seq_59,3.18631291389465,1.53424191474915
0,seq_60,2.96743655204773,3.05746102333069
0,seq_61,2.84487318992615,3.4592227935791
0,seq_62,3.54059839248657,1.18005549907684
0,seq_63,4.25894212722778,0.843298435211182
0,seq_64,4.27660131454468,0.560944974422455
0,seq_65,3.94199299812317,1.15632569789886
0,seq_66,3.99518847465515,1.08584344387054
0,seq_67,3.4053955078125,1.18603229522705
